reviews,iterations,accuracy
10,1,47.833386632555161
10,1,47.833386632555161
100,1,46.026543012472018
1000,1,45.243044451551008
2000,1,44.187719859290056
3000,1,42.141029740965777
4000,1,43.316277582347297
6000,1,40.270227054685002
10000,1,44.779341221618161
20000,1,71.506236008954275
30000,1,75.103933482571151
40000,1,79.74896066517428
50000,1,81.819635433322674
60000,1,82.203389830508485
70000,1,82.499200511672527
80000,1,82.459226095299016
90000,1,83.138791173648869
90000,2,83.27470418931884
60000,1,2,61.200831467860574
60000,1,2,61.200831467860574
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,68.766666666666666
60000,1,10,82.0
60000,1,10,82.0
60000,1,10,82.0
60000,1,10,82.0
60000,1,10,82.0
60000,1,10,82.0
60000,1,10,82.0
60000,1,10,82.0
60000,1,10,82.0
60000,1,10,82.0
60000,1,10,82.0
60000,1,10,82.0
60000,1,10,82.0
60000,1,10,82.0
60000,1,10,82.0
60000,1,10,82.0
60000,1,300,82.599999999999994
60000,1,300,84.0
60000,1,300,84.0
60000,1,300,84.0
60000,1,300,84.0
60000,1,300,84.0
60000,1,300,84.0
60000,1,10,82.199999999999989
60000,1,10,82.199999999999989
60000,1,10,82.199999999999989
60000,1,300,86.599999999999994
60000,1,300,86.599999999999994
60000,1,300,92.900000000000006
60000,1,300,85.200000000000003
60000,1,300,85.200000000000003
60000,1,300,85.200000000000003
60000,1,300,85.200000000000003
60000,1,300,85.200000000000003
60000,1,300,85.200000000000003
60000,1,300,85.200000000000003
150000,1,300,90.400000000000006
