reviews,iterations,vector_size,accuracy
60000,1,100,81.939558682443234
60000,1,90,82.427246562200196
60000,1,80,82.14742564758555
60000,1,70,82.123440997761435
60000,1,60,82.291333546530225
60000,1,50,82.627118644067792
60000,1,40,82.803006076111288
60000,1,30,82.771026543012468
60000,1,20,82.699072593540137
60000,1,10,82.411256795650772
60000,1,9,79.73297089862487
60000,1,8,77.190598017268954
60000,1,7,75.351774864086991
60000,1,6,71.993923888711223
60000,1,5,71.258394627438435
60000,1,4,70.283018867924525
60000,1,3,64.614646626159256
60000,1,2,61.200831467860574
60000,1,1,47.689478733610493
